"Year","State","Beverage_Type","Gallons_of_Beverage","Gallons_of_Ethanol","Population_14_Plus","Ethanol_Per_Capita_14_Plus","Decile_14_Plus","Population_21_Plus","Ethanol_Per_Capita_21_Plus","Decile_21_Plus","Data_Source_Type","Time_Varying_ABV","Gallons_of_Ethanol_from_ABV"
"1970","Iowa","All Beverages","","3806880","207600","18338","8","169900","22407","8",".","",""
"1970","Kansas","Spirits","2410000","1084500","167800","6463","10","137300","7899","10",".","",""
"1970","Kansas","Wine","963000","154080","167800","918","9","137300","1122","9",".","",""
"1970","Kansas","Beer","31852000","1433340","167800","8542","9","137300","10439","9",".","",""
"1970","Kansas","All Beverages","","2671920","167800","15923","10","137300","19460","10",".","",""
"1970","Kentucky","Spirits","4420000","1989000","236300","8417","8","191800","10370","8",".","",""
"1970","Kentucky","Wine","1222000","195520","236300","827","10","191800","1019","10",".","",""
"1970","Kentucky","Beer","49079000","2208555","236300","9346","8","191800","11515","8",".","",""
"1970","Kentucky","All Beverages","","4393075","236300","18591","8","191800","22904","8",".","",""
"1970","Louisiana","Spirits","5195000","2337750","256700","9107","7","204100","11454","7",".","",""
"1970","Louisiana","Wine","4593000","734880","256700","2863","4","204100","3601","4",".","",""
"1970","Louisiana","Beer","68578000","3086010","256700","12022","4","204100","15120","4",".","",""
"1970","Louisiana","All Beverages","","6158640","256700","23992","6","204100","30175","6",".","",""
"1970","Maine","Spirits","1668000","750600","72700","10325","5","59700","12573","6",".","",""
"1970","Maine","Wine","439000","70240","72700","966","9","59700","1177","9",".","",""
"1970","Maine","Beer","19981000","899145","72700","12368","3","59700","15061","4",".","",""
"1970","Maine","All Beverages","","1719985","72700","23659","6","59700","28810","6",".","",""
"1970","Maryland","Spirits","8748000","3936600","284200","13852","2","234200","16809","2",".","",""
"1970","Maryland","Wine","4502000","720320","284200","2535","4","234200","3076","5",".","",""
"1970","Maryland","Beer","82602000","3717090","284200","13079","2","234200","15871","2",".","",""
"1970","Maryland","All Beverages","","8374010","284200","29465","2","234200","35756","2",".","",""
"1970","Massachusetts","Spirits","12732000","5729400","422900","13548","3","350700","16337","3",".","",""
"1970","Massachusetts","Wine","7925000","1268000","422900","2998","4","350700","3616","4",".","",""
"1970","Massachusetts","Beer","107655000","4844475","422900","11455","6","350700","13814","6",".","",""
"1970","Massachusetts","All Beverages","","11841875","422900","28002","3","350700","33766","4",".","",""
"1970","Michigan","Spirits","15056000","6775200","635900","10655","5","514600","13166","5",".","",""
"1970","Michigan","Wine","9517000","1522720","635900","2395","5","514600","2959","5",".","",""
"1970","Michigan","Beer","193944000","8727480","635900","13725","2","514600","16960","2",".","",""
"1970","Michigan","All Beverages","","17025400","635900","26774","4","514600","33085","4",".","",""
"1970","Minnesota","Spirits","7484000","3367800","273500","12314","4","221900","15177","4",".","",""
"1970","Minnesota","Wine","2692000","430720","273500","1575","6","221900","1941","7",".","",""
"1970","Minnesota","Beer","69288000","3117960","273500","11400","6","221900","14051","6",".","",""
"1970","Minnesota","All Beverages","","6916480","273500","25289","5","221900","31169","5",".","",""
"1970","Mississippi","Spirits","2458000","1106100","156800","7054","9","124200","8906","9",".","",""
"1970","Mississippi","Wine","797000","127520","156800","813","10","124200","1027","10",".","",""
"1970","Mississippi","Beer","28648000","1289160","156800","8222","9","124200","10380","9",".","",""
"1970","Mississippi","All Beverages","","2522780","156800","16089","9","124200","20312","9",".","",""
"1970","Missouri","Spirits","7724000","3475800","347900","9991","6","287900","12073","7",".","",""
"1970","Missouri","Wine","4228000","676480","347900","1944","6","287900","2350","6",".","",""
"1970","Missouri","Beer","86940000","3912300","347900","11245","6","287900","13589","7",".","",""
"1970","Missouri","All Beverages","","8064580","347900","23181","7","287900","28012","7",".","",""
"1970","Montana","Spirits","1145000","515250","50200","10264","6","40500","12722","6",".","",""
"1970","Montana","Wine","418000","66880","50200","1332","8","40500","1651","8",".","",""
"1970","Montana","Beer","17179000","773055","50200","15400","1","40500","19088","1",".","",""
"1970","Montana","All Beverages","","1355185","50200","26996","4","40500","33461","4",".","",""
"1970","Nebraska","Spirits","2463000","1108350","109300","10140","6","89400","12398","6",".","",""
"1970","Nebraska","Wine","902000","144320","109300","1320","8","89400","1614","8",".","",""
"1970","Nebraska","Beer","31183000","1403235","109300","12838","3","89400","15696","3",".","",""
"1970","Nebraska","All Beverages","","2655905","109300","24299","6","89400","29708","6",".","",""
"1970","Nevada","Spirits","2499000","1124550","35400","31767","1","29700","37864","1",".","",""
"1970","Nevada","Wine","1482000","237120","35400","6698","1","29700","7984","1",".","",""
"1970","Nevada","Beer","13620000","612900","35400","17314","1","29700","20636","1",".","",""
"1970","Nevada","All Beverages","","1974570","35400","55779","1","29700","66484","1",".","",""
"1970","New Hampshire","Spirits","3371000","1516950","53700","28249","1","44300","34243","1",".","",""
"1970","New Hampshire","Wine","1058000","169280","53700","3152","3","44300","3821","3",".","",""
"1970","New Hampshire","Beer","20079000","903555","53700","16826","1","44300","20396","1",".","",""
"1970","New Hampshire","All Beverages","","2589785","53700","48227","1","44300","58460","1",".","",""
"1970","New Jersey","Spirits","16289000","7330050","531300","13796","3","445900","16439","3",".","",""
"1970","New Jersey","Wine","12629000","2020640","531300","3803","2","445900","4532","3",".","",""
"1970","New Jersey","Beer","138322000","6224490","531300","11716","6","445900","13959","6",".","",""
"1970","New Jersey","All Beverages","","15575180","531300","29315","3","445900","34930","3",".","",""
"1970","New Mexico","Spirits","1530000","688500","70100","9822","7","55400","12428","6",".","",""
"1970","New Mexico","Wine","1597000","255520","70100","3645","3","55400","4612","2",".","",""
"1970","New Mexico","Beer","18665000","839925","70100","11982","4","55400","15161","4",".","",""
