"Year","State","Beverage_Type","Gallons_of_Beverage","Gallons_of_Ethanol","Population_14_Plus","Ethanol_Per_Capita_14_Plus","Decile_14_Plus","Population_21_Plus","Ethanol_Per_Capita_21_Plus","Decile_21_Plus","Data_Source_Type","Time_Varying_ABV","Gallons_of_Ethanol_from_ABV"
"1987","Georgia","Spirits","11970905","4920042","491684","10006","3","421344","11677","2",".","398","4764420"
"1987","Georgia","Wine","10165899","1311401","491684","2667","7","421344","3112","7",".","102","1036922"
"1987","Georgia","Beer","132740237","5973311","491684","12149","8","421344","14177","8",".","46","6106051"
"1987","Georgia","All Beverages","","12204754","491684","24822","6","421344","28966","6",".","","11907393"
"1987","Hawaii","Spirits","1586629","652105","84693","7700","6","73915","8822","6",".","393","623545"
"1987","Hawaii","Wine","2661000","343269","84693","4053","4","73915","4644","4",".","106","282066"
"1987","Hawaii","Beer","29852000","1343340","84693","15861","2","73915","18174","2",".","46","1373192"
"1987","Hawaii","All Beverages","","2338714","84693","27614","3","73915","31641","3",".","","2278803"
"1987","Idaho","Spirits","1060950","436050","74085","5886","9","63213","6898","9",".","390","413771"
"1987","Idaho","Wine","2219000","286251","74085","3864","4","63213","4528","4",".","103","228557"
"1987","Idaho","Beer","21972000","988740","74085","13346","6","63213","15641","6",".","46","1010712"
"1987","Idaho","All Beverages","","1711041","74085","23096","7","63213","27068","7",".","","1653040"
"1987","Illinois","Spirits","19488979","8009970","905745","8844","5","783954","10217","5",".","379","7386323"
"1987","Illinois","Wine","27637272","3565208","905745","3936","4","783954","4548","4",".","106","2929551"
"1987","Illinois","Beer","288792174","12995648","905745","14348","3","783954","16577","3",".","46","13284440"
"1987","Illinois","All Beverages","","24570826","905745","27128","4","783954","31342","4",".","","23600314"
"1987","Indiana","Spirits","7149711","2938531","435439","6748","7","374318","7850","8",".","376","2688291"
"1987","Indiana","Wine","7624000","983496","435439","2259","8","374318","2627","8",".","107","815768"
"1987","Indiana","Beer","121685000","5475825","435439","12575","8","374318","14629","7",".","46","5597510"
"1987","Indiana","All Beverages","","9397852","435439","21582","8","374318","25107","8",".","","9101569"
"1987","Iowa","Spirits","3170763","1303184","220610","5907","9","191455","6807","9",".","380","1204890"
"1987","Iowa","Wine","3698749","477139","220610","2163","8","191455","2492","8",".","90","332887"
"1987","Iowa","Beer","65506626","2947798","220610","13362","6","191455","15397","6",".","46","3013305"
"1987","Iowa","All Beverages","","4728121","220610","21432","8","191455","24696","8",".","","4551082"
"1987","Kansas","Spirits","2671289","1097900","193033","5688","10","168461","6517","10",".","383","1023104"
"1987","Kansas","Wine","2480827","320027","193033","1658","9","168461","1900","9",".","98","243121"
"1987","Kansas","Beer","48926000","2201670","193033","11406","9","168461","13069","9",".","46","2250596"
"1987","Kansas","All Beverages","","3619597","193033","18751","9","168461","21486","9",".","","3516821"
"1987","Kentucky","Spirits","4297339","1766206","292969","6029","9","251695","7017","9",".","390","1675962"
"1987","Kentucky","Wine","3155000","406995","292969","1389","10","251695","1617","10",".","107","337585"
"1987","Kentucky","Beer","67735563","3048100","292969","10404","10","251695","12110","10",".","46","3115836"
"1987","Kentucky","All Beverages","","5221301","292969","17822","10","251695","20744","10",".","","5129383"
"1987","Louisiana","Spirits","6217654","2555456","332996","7674","6","282524","9045","6",".","385","2393797"
"1987","Louisiana","Wine","6347774","818863","332996","2459","7","282524","2898","7",".","120","761733"
"1987","Louisiana","Beer","103346000","4650570","332996","13966","4","282524","16461","4",".","46","4753916"
"1987","Louisiana","All Beverages","","8024889","332996","24099","7","282524","28404","7",".","","7909446"
"1987","Maine","Spirits","2113133","868498","95247","9118","4","82411","10539","4",".","378","798764"
"1987","Maine","Wine","2783147","359026","95247","3769","5","82411","4357","5",".","101","281098"
"1987","Maine","Beer","26871584","1209221","95247","12696","7","82411","14673","7",".","46","1236093"
"1987","Maine","All Beverages","","2436745","95247","25583","5","82411","29568","5",".","","2315955"
"1987","Maryland","Spirits","9534000","3918474","370868","10566","2","323076","12129","2",".","385","3670590"
"1987","Maryland","Wine","10790714","1392002","370868","3753","5","323076","4309","5",".","115","1240932"
"1987","Maryland","Beer","105648949","4754203","370868","12819","7","323076","14715","7",".","46","4859852"
"1987","Maryland","All Beverages","","10064679","370868","27138","4","323076","31153","4",".","","9771374"
"1987","Massachusetts","Spirits","13255054","5447827","491585","11082","2","427697","12738","2",".","369","4891115"
"1987","Massachusetts","Wine","19188594","2475329","491585","5035","3","427697","5788","3",".","115","2206688"
"1987","Massachusetts","Beer","138964750","6253414","491585","12721","7","427697","14621","8",".","46","6392379"
"1987","Massachusetts","All Beverages","","14176570","491585","28838","3","427697","33146","3",".","","13490182"
"1987","Michigan","Spirits","15203899","6248802","731218","8546","5","627463","9959","5",".","380","5777482"
"1987","Michigan","Wine","18943572","2443721","731218","3342","6","627463","3895","5",".","107","2026962"
"1987","Michigan","Beer","215038047","9676712","731218","13234","6","627463","15422","6",".","46","9891750"
"1987","Michigan","All Beverages","","18369235","731218","25121","6","627463","29275","6",".","","17696194"
"1987","Minnesota","Spirits","7689178","3160252","335363","9423","3","291703","10834","3",".","387","2975712"
"1987","Minnesota","Wine","8256449","1065082","335363","3176","6","291703","3651","6",".","97","800876"
"1987","Minnesota","Beer","98593206","4436694","335363","13230","6","291703","15210","6",".","46","4535287"
"1987","Minnesota","All Beverages","","8662028","335363","25829","5","291703","29695","5",".","","8311875"
"1987","Mississippi","Spirits","3216737","1322079","199111","6640","8","167185","7908","7",".","400","1286695"
"1987","Mississippi","Wine","1455000","187695","199111","943","10","167185","1123","10",".","108","157140"
"1987","Mississippi","Beer","56609000","2547405","199111","12794","7","167185","15237","6",".","46","2604014"
"1987","Mississippi","All Beverages","","4057179","199111","20376","9","167185","24268","9",".","","4047849"
"1987","Missouri","Spirits","7163595","2944238","403908","7289","6","351331","8380","6",".","384","2750820"
"1987","Missouri","Wine","8681583","1119924","403908","2773","6","351331","3188","6",".","112","972337"
"1987","Missouri","Beer","123762212","5569300","403908","13789","5","351331","15852","5",".","46","5693062"
"1987","Missouri","All Beverages","","9633462","403908","23851","7","351331","27420","7",".","","9416219"
"1987","Montana","Spirits","1178413","484328","62451","7755","6","54151","8944","6",".","384","452511"
"1987","Montana","Wine","1624000","209496","62451","3355","5","54151","3869","6",".","106","172144"
"1987","Montana","Beer","22017000","990765","62451","15864","2","54151","18296","2",".","46","1012782"
"1987","Montana","All Beverages","","1684589","62451","26974","4","54151","31109","4",".","","1637437"
"1987","Nebraska","Spirits","2010600","826357","123085","6714","8","107027","7721","8",".","382","768049"
"1987","Nebraska","Wine","2161901","278885","123085","2266","8","107027","2606","8",".","104","224838"
"1987","Nebraska","Beer","39154752","1761964","123085","14315","4","107027","16463","4",".","46","1801119"
"1987","Nebraska","All Beverages","","2867206","123085","23294","7","107027","26790","7",".","","2794006"
"1987","Nevada","Spirits","4117581","1692326","82450","20525","1","72773","23255","1",".","385","1585269"
"1987","Nevada","Wine","5291836","682647","82450","8279","1","72773","9380","1",".","107","566226"
"1987","Nevada","Beer","36850049","1658252","82450","20112","1","72773","22787","1",".","46","1695102"
"1987","Nevada","All Beverages","","4033225","82450","48917","1","72773","55422","1",".","","3846597"
"1987","New Hampshire","Spirits","4117895","1692455","85216","19861","1","74066","22850","1",".","381","1568918"
"1987","New Hampshire","Wine","3302000","425958","85216","4999","3","74066","5751","3",".","112","369824"
"1987","New Hampshire","Beer","36631000","1648395","85216","19344","1","74066","22255","1",".","46","1685026"
"1987","New Hampshire","All Beverages","","3766808","85216","44203","1","74066","50857","1",".","","3623768"
"1987","New Jersey","Spirits","15388441","6324649","629922","10040","2","550641","11486","3",".","383","5893773"
"1987","New Jersey","Wine","26171000","3376059","629922","5359","2","550641","6131","2",".","114","2983494"
"1987","New Jersey","Beer","164727649","7412744","629922","11768","8","550641","13462","8",".","46","7577472"
"1987","New Jersey","All Beverages","","17113452","629922","27168","4","550641","31079","4",".","","16454739"
"1987","New Mexico","Spirits","1863071","765722","113049","6773","7","96685","7920","7",".","388","722872"
"1987","New Mexico","Wine","3127673","403470","113049","3569","5","96685","4173","5",".","104","325278"
"1987","New Mexico","Beer","41493547","1867210","113049","16517","1","96685","19312","1",".","46","1908703"
"1987","New Mexico","All Beverages","","3036402","113049","26859","4","96685","31405","4",".","","2956853"
"1987","New York","Spirits","31814000","13075554","1458688","8964","4","1269693","10298","5",".","388","12343832"
"1987","New York","Wine","53585000","6912465","1458688","4739","3","1269693","5444","3",".","110","5894350"
"1987","New York","Beer","370987000","16694415","1458688","11445","9","1269693","13148","9",".","46","17065402"
"1987","New York","All Beverages","","36682434","1458688","25148","6","1269693","28891","6",".","","35303584"
"1987","North Carolina","Spirits","8965438","3684795","519653","7091","7","447634","8232","7",".","402","3604106"
"1987","North Carolina","Wine","11174000","1441446","519653","2774","6","447634","3220","6",".","110","1229140"
"1987","North Carolina","Beer","127989000","5759505","519653","11083","10","447634","12867","10",".","46","5887494"
"1987","North Carolina","All Beverages","","10885746","519653","20948","9","447634","24318","9",".","","10720740"
"1987","North Dakota","Spirits","1110244","456310","51318","8892","5","44300","10300","5",".","378","419672"
"1987","North Dakota","Wine","817430","105448","51318","2055","8","44300","2380","8",".","96","78473"
"1987","North Dakota","Beer","15635119","703580","51318","13710","5","44300","15882","5",".","46","719215"
"1987","North Dakota","All Beverages","","1265338","51318","24657","6","44300","28562","6",".","","1217360"
"1987","Ohio","Spirits","12292438","5052192","859242","5880","9","742463","6805","9",".","367","4511325"
"1987","Ohio","Wine","15795000","2037555","859242","2371","7","742463","2744","7",".","111","1753245"
"1987","Ohio","Beer","258237000","11620665","859242","13524","5","742463","15651","5",".","46","11878902"
"1987","Ohio","All Beverages","","18710412","859242","21775","8","742463","25200","8",".","","18143472"
"1987","Oklahoma","Spirits","3539382","1454686","251907","5775","10","217898","6676","10",".","396","1401595"
"1987","Oklahoma","Wine","2974979","383772","251907","1523","9","217898","1761","10",".","121","359972"
"1987","Oklahoma","Beer","59591000","2681595","251907","10645","10","217898","12307","10",".","46","2741186"
"1987","Oklahoma","All Beverages","","4520053","251907","17943","10","217898","20744","10",".","","4502753"
"1987","Oregon","Spirits","3814016","1567561","215870","7262","7","189185","8286","7",".","393","1498908"
"1987","Oregon","Wine","8925045","1151331","215870","5333","2","189185","6086","2",".","109","972830"
"1987","Oregon","Beer","61538637","2769239","215870","12828","6","189185","14638","7",".","46","2830777"
"1987","Oregon","All Beverages","","5488131","215870","25423","5","189185","29009","6",".","","5302515"
"1987","Pennsylvania","Spirits","14606816","6003401","966576","6211","8","842874","7123","9",".","382","5579804"
"1987","Pennsylvania","Wine","15351855","1980389","966576","2049","8","842874","2350","8",".","118","1811519"
"1987","Pennsylvania","Beer","299912000","13496040","966576","13963","4","842874","16012","4",".","46","13795952"
"1987","Pennsylvania","All Beverages","","21479830","966576","22223","8","842874","25484","8",".","","21187275"
"1987","Rhode Island","Spirits","1858217","763727","81760","9341","4","70973","10761","4",".","372","691257"
"1987","Rhode Island","Wine","3241913","418207","81760","5115","2","70973","5892","2",".","113","366336"
"1987","Rhode Island","Beer","25220780","1134935","81760","13881","5","70973","15991","5",".","46","1160156"
"1987","Rhode Island","All Beverages","","2316869","81760","28337","3","70973","32644","3",".","","2217749"
"1987","South Carolina","Spirits","5790914","2380066","268084","8878","5","228720","10406","4",".","398","2304784"
"1987","South Carolina","Wine","5699000","735171","268084","2742","6","228720","3214","6",".","101","575599"
"1987","South Carolina","Beer","80644000","3628980","268084","13537","5","228720","15866","5",".","46","3709624"
"1987","South Carolina","All Beverages","","6744217","268084","25157","6","228720","29487","5",".","","6590007"
"1987","South Dakota","Spirits","1062843","436828","53805","8119","6","46581","9378","6",".","376","399629"
"1987","South Dakota","Wine","829000","106941","53805","1988","9","46581","2296","9",".","103","85387"
"1987","South Dakota","Beer","15215000","684675","53805","12725","7","46581","14698","7",".","46","699890"
"1987","South Dakota","All Beverages","","1228444","53805","22831","8","46581","26372","8",".","","1184906"
"1987","Tennessee","Spirits","5875691","2414909","386039","6256","8","333895","7233","8",".","396","2326774"
"1987","Tennessee","Wine","4600000","593400","386039","1537","9","333895","1777","9",".","102","469200"
"1987","Tennessee","Beer","101866000","4583970","386039","11874","8","333895","13729","8",".","46","4685836"
"1987","Tennessee","All Beverages","","7592279","386039","19667","9","333895","22739","9",".","","7481810"
"1987","Texas","Spirits","19065927","7836096","1283798","6104","9","1098056","7136","8",".","400","7626371"
"1987","Texas","Wine","28992456","3740027","1283798","2913","6","1098056","3406","6",".","95","2754283"
"1987","Texas","Beer","461986227","20789380","1283798","16194","2","1098056","18933","1",".","46","21251366"
"1987","Texas","All Beverages","","32365503","1283798","25211","6","1098056","29475","6",".","","31632020"
"1987","Utah","Spirits","1406586","578107","116953","4943","10","97411","5935","10",".","378","531690"
"1987","Utah","Wine","1366000","176214","116953","1507","10","97411","1809","9",".","111","151626"
"1987","Utah","Beer","21850000","983250","116953","8407","10","97411","10094","10",".","46","1005100"
"1987","Utah","All Beverages","","1737571","116953","14857","10","97411","17837","10",".","","1688416"
"1987","Vermont","Spirits","1054970","433593","43240","10028","3","37215","11651","2",".","385","406163"
"1987","Vermont","Wine","1970000","254130","43240","5877","1","37215","6829","1",".","99","195030"
"1987","Vermont","Beer","15229000","685305","43240","15849","2","37215","18415","2",".","46","700534"
"1987","Vermont","All Beverages","","1373028","43240","31754","1","37215","36894","1",".","","1301727"
"1987","Virginia","Spirits","8232976","3383753","480974","7035","7","416350","8127","7",".","397","3268491"
"1987","Virginia","Wine","9497437","1225169","480974","2547","7","416350","2943","7",".","103","978236"
"1987","Virginia","Beer","148505998","6682770","480974","13894","4","416350","16051","4",".","46","6831276"
"1987","Virginia","All Beverages","","11291692","480974","23477","7","416350","27121","7",".","","11078003"
"1987","Washington","Spirits","6978405","2868124","361014","7945","6","315576","9089","6",".","391","2728556"
"1987","Washington","Wine","15646963","2018458","361014","5591","1","315576","6396","1",".","104","1627284"
"1987","Washington","Beer","99376000","4471920","361014","12387","8","315576","14171","8",".","46","4571296"
"1987","Washington","All Beverages","","9358502","361014","25923","5","315576","29655","5",".","","8927136"
"1987","West Virginia","Spirits","1508295","619909","149499","4147","10","128692","4817","10",".","398","600301"
"1987","West Virginia","Wine","1525000","196725","149499","1316","10","128692","1529","10",".","99","150975"
"1987","West Virginia","Beer","37682880","1695730","149499","11343","9","128692","13177","9",".","46","1733412"
"1987","West Virginia","All Beverages","","2512364","149499","16805","10","128692","19522","10",".","","2484688"
"1987","Wisconsin","Spirits","9065810","3726048","379445","9820","3","328380","11347","3",".","383","3472205"
"1987","Wisconsin","Wine","10516000","1356564","379445","3575","5","328380","4131","5",".","103","1083148"
"1987","Wisconsin","Beer","151475159","6816382","379445","17964","1","328380","20758","1",".","46","6967857"
"1987","Wisconsin","All Beverages","","11898994","379445","31359","2","328380","36235","2",".","","11523210"
"1987","Wyoming","Spirits","780257","320686","35731","8975","4","30653","10462","4",".","380","296498"
"1987","Wyoming","Wine","698000","90042","35731","2520","7","30653","2937","7",".","99","69102"
"1987","Wyoming","Beer","12020000","540900","35731","15138","3","30653","17645","3",".","46","552920"
"1987","Wyoming","All Beverages","","951628","35731","26633","5","30653","31044","5",".","","918520"
"1987","Northeast Region","Spirits","91391646","37561966","4120267","9116","","3589870","10463","",".","382","34911609"
"1987","Northeast Region","Wine","136189770","17568481","4120267","4264","","3589870","4894","",".","112","15253254"
"1987","Northeast Region","Beer","1146146942","51576612","4120267","12518","","3589870","14367","",".","46","52722759"
"1987","Northeast Region","All Beverages","","106707059","4120267","25898","","3589870","29724","",".","","102887622"
"1987","Midwest Region","Spirits","88079349","36200612","4692215","7715","","4057440","8922","",".","379","33382073"
"1987","Midwest Region","Wine","107441783","13859990","4692215","2954","","4057440","3416","",".","106","11388829"
"1987","Midwest Region","Beer","1442020295","64890913","4692215","13829","","4057440","15993","",".","46","66332934"
"1987","Midwest Region","All Beverages","","114951515","4692215","24498","","4057440","28331","",".","","111103836"
"1987","South Region","Spirits","124840640","51309503","6634053","7734","","5728013","8958","",".","395","49312053"
"1987","South Region","Wine","140321625","18101490","6634053","2729","","5728013","3160","",".","104","14593449"
"1987","South Region","Beer","1974585668","88856355","6634053","13394","","5728013","15513","",".","46","90830941"
"1987","South Region","All Beverages","","158267348","6634053","23857","","5728013","27630","",".","","154736443"
"1987","West Region","Spirits","84931328","34906777","3926917","8889","","3412297","10230","",".","386","32783493"
"1987","West Region","Wine","187427142","24178102","3926917","6157","","3412297","7086","",".","106","19867277"
"1987","West Region","Beer","1205254315","54236446","3926917","13811","","3412297","15894","",".","46","55441698"
"1987","West Region","All Beverages","","113321325","3926917","28858","","3412297","33210","",".","","108092468"
"1987","United States","Spirits","389242963","159978858","19373453","8258","","16787621","9530","",".","386","150247784"
"1987","United States","Wine","571380320","73708063","19373453","3805","","16787621","4391","",".","107","61137694"
"1987","United States","Beer","5768007220","259560326","19373453","13398","","16787621","15461","",".","46","265328332"
"1987","United States","All Beverages","","493247247","19373453","25460","","16787621","29382","",".","","476713810"
"1988","Alabama","Spirits","4799175","1972461","320048","6163","8","274607","7183","8",".","404","1938867"
"1988","Alabama","Wine","4596000","592884","320048","1852","9","274607","2159","9",".","107","491772"
"1988","Alabama","Beer","79664674","3584910","320048","11201","9","274607","13055","9",".","46","3664575"
"1988","Alabama","All Beverages","","6150255","320048","19217","9","274607","22397","9",".","","6095214"
"1988","Alaska","Spirits","1152999","473883","39933","11867","1","34401","13775","1",".","372","428916"
"1988","Alaska","Wine","1469064","189509","39933","4746","3","34401","5509","3",".","117","171880"
"1988","Alaska","Beer","13708862","616899","39933","15448","2","34401","17932","2",".","46","630608"
"1988","Alaska","All Beverages","","1280291","39933","32060","1","34401","37216","1",".","","1231404"
"1988","Arizona","Spirits","5844016","2401891","279018","8608","5","242448","9907","5",".","386","2255790"
"1988","Arizona","Wine","8813299","1136916","279018","4075","4","242448","4689","4",".","98","863703"
"1988","Arizona","Beer","99190219","4463560","279018","15997","2","242448","18410","2",".","46","4562750"
"1988","Arizona","All Beverages","","8002367","279018","28680","2","242448","33006","2",".","","7682243"
"1988","Arkansas","Spirits","2465045","1013133","186036","5446","9","160771","6302","9",".","383","944112"
"1988","Arkansas","Wine","2005000","258645","186036","1390","10","160771","1609","10",".","112","224560"
"1988","Arkansas","Beer","45205000","2034225","186036","10935","10","160771","12653","10",".","46","2079430"
"1988","Arkansas","All Beverages","","3306003","186036","17771","10","160771","20563","10",".","","3248102"
"1988","California","Spirits","48175687","19800207","2260483","8759","4","1971396","10044","5",".","388","18692167"
"1988","California","Wine","117038750","15097999","2260483","6679","1","1971396","7659","1",".","105","12289069"
"1988","California","Beer","662220561","29799925","2260483","13183","6","1971396","15116","6",".","46","30462146"
"1988","California","All Beverages","","64698131","2260483","28621","3","1971396","32818","2",".","","61443382"
"1988","Colorado","Spirits","5761032","2367784","257286","9203","3","224355","10554","3",".","388","2235280"
"1988","Colorado","Wine","7934917","1023604","257286","3978","4","224355","4562","4",".","99","785557"
"1988","Colorado","Beer","82599164","3716962","257286","14447","4","224355","16567","4",".","46","3799562"
"1988","Colorado","All Beverages","","7108350","257286","27628","3","224355","31683","3",".","","6820399"
"1988","Connecticut","Spirits","6901723","2836608","269321","10532","2","236828","11978","2",".","384","2650262"
"1988","Connecticut","Wine","10369989","1337729","269321","4967","2","236828","5649","2",".","112","1161439"
"1988","Connecticut","Beer","66884768","3009815","269321","11176","9","236828","12709","10",".","46","3076699"
"1988","Connecticut","All Beverages","","7184152","269321","26675","4","236828","30335","4",".","","6888400"
"1988","Delaware","Spirits","1534436","630653","52133","12097","1","45430","13882","1",".","381","584620"
"1988","Delaware","Wine","1653386","213287","52133","4091","3","45430","4695","3",".","107","176912"
"1988","Delaware","Beer","16960721","763232","52133","14640","3","45430","16800","3",".","46","780193"
"1988","Delaware","All Beverages","","1607172","52133","30828","1","45430","35377","1",".","","1541725"
"1988","District of Columbia","Spirits","2472625","1016249","53377","19039","1","47033","21607","1",".","396","979160"
"1988","District of Columbia","Wine","3838000","495102","53377","9275","1","47033","10527","1",".","111","426018"
"1988","District of Columbia","Beer","16424000","739080","53377","13846","4","47033","15714","5",".","46","755504"
"1988","District of Columbia","All Beverages","","2250431","53377","42161","1","47033","47848","1",".","","2160682"
"1988","Florida","Spirits","24755036","10174320","1017926","9995","2","906967","11218","2",".","395","9778239"
"1988","Florida","Wine","32135238","4145446","1017926","4072","4","906967","4571","4",".","100","3213524"
"1988","Florida","Beer","339927824","15296752","1017926","15027","3","906967","16866","3",".","46","15636680"
"1988","Florida","All Beverages","","29616518","1017926","29095","2","906967","32654","3",".","","28628443"
"1988","Georgia","Spirits","11132756","4575563","499581","9159","3","429324","10658","3",".","400","4453102"
"1988","Georgia","Wine","10042094","1295430","499581","2593","6","429324","3017","6",".","100","1004209"
"1988","Georgia","Beer","134611420","6057514","499581","12125","8","429324","14109","8",".","46","6192125"
"1988","Georgia","All Beverages","","11928507","499581","23877","7","429324","27784","7",".","","11649436"
"1988","Hawaii","Spirits","1671914","687157","85715","8017","6","75097","9150","6",".","393","657062"
"1988","Hawaii","Wine","3018000","389322","85715","4542","3","75097","5184","3",".","104","313872"
"1988","Hawaii","Beer","31198000","1403910","85715","16379","1","75097","18694","2",".","46","1435108"
"1988","Hawaii","All Beverages","","2480389","85715","28938","2","75097","33029","2",".","","2406042"
"1988","Idaho","Spirits","1072193","440671","74337","5928","9","63492","6940","8",".","390","418155"
"1988","Idaho","Wine","2136000","275544","74337","3707","4","63492","4340","4",".","100","213600"
"1988","Idaho","Beer","21124000","950580","74337","12787","7","63492","14971","6",".","46","971704"
"1988","Idaho","All Beverages","","1666795","74337","22422","7","63492","26252","7",".","","1603459"
"1988","Illinois","Spirits","19133141","7863721","906073","8679","5","787315","9988","5",".","383","7327993"
"1988","Illinois","Wine","26875990","3467003","906073","3826","4","787315","4404","4",".","105","2821979"
"1988","Illinois","Beer","292174535","13147854","906073","14511","3","787315","16700","3",".","46","13440029"
"1988","Illinois","All Beverages","","24478578","906073","27016","3","787315","31091","4",".","","23590001"
"1988","Indiana","Spirits","7137918","2933684","437133","6711","7","376724","7787","7",".","377","2690995"
"1988","Indiana","Wine","7171000","925059","437133","2116","8","376724","2456","8",".","104","745784"
"1988","Indiana","Beer","121620000","5472900","437133","12520","7","376724","14528","7",".","46","5594520"
"1988","Indiana","All Beverages","","9331643","437133","21347","8","376724","24770","8",".","","9031299"
"1988","Iowa","Spirits","2860184","1175536","220794","5324","10","192173","6117","10",".","381","1089730"
"1988","Iowa","Wine","3472774","447988","220794","2029","8","192173","2331","8",".","85","295186"
"1988","Iowa","Beer","64801341","2916060","220794","13207","5","192173","15174","6",".","46","2980862"
"1988","Iowa","All Beverages","","4539584","220794","20560","9","192173","23622","9",".","","4365778"
"1988","Kansas","Spirits","2688321","1104900","194079","5693","9","169580","6516","9",".","379","1018874"
"1988","Kansas","Wine","3293124","424813","194079","2189","8","169580","2505","8",".","94","309554"
"1988","Kansas","Beer","48725134","2192631","194079","11298","9","169580","12930","9",".","46","2241356"
"1988","Kansas","All Beverages","","3722344","194079","19180","9","169580","21950","9",".","","3569784"
"1988","Kentucky","Spirits","4263204","1752177","293474","5970","8","252883","6929","9",".","391","1666913"
"1988","Kentucky","Wine","2828316","364853","293474","1243","10","252883","1443","10",".","104","294145"
"1988","Kentucky","Beer","71472723","3216273","293474","10959","10","252883","12718","10",".","46","3287745"
"1988","Kentucky","All Beverages","","5333303","293474","18173","10","252883","21090","10",".","","5248803"
"1988","Louisiana","Spirits","5698531","2342096","328441","7131","6","279633","8376","6",".","383","2182537"
"1988","Louisiana","Wine","6192520","798835","328441","2432","7","279633","2857","7",".","118","730717"
"1988","Louisiana","Beer","108532000","4883940","328441","14870","3","279633","17466","3",".","46","4992472"
"1988","Louisiana","All Beverages","","8024871","328441","24433","6","279633","28698","6",".","","7905726"
"1988","Maine","Spirits","2145339","881734","96802","9109","4","84130","10481","4",".","379","813083"
"1988","Maine","Wine","2682492","346041","96802","3575","5","84130","4113","5",".","98","262884"
"1988","Maine","Beer","27648539","1244184","96802","12853","7","84130","14789","7",".","46","1271833"
"1988","Maine","All Beverages","","2471959","96802","25536","5","84130","29383","5",".","","2347800"
"1988","Maryland","Spirits","9136910","3755270","376858","9965","2","330349","11368","2",".","389","3554258"
"1988","Maryland","Wine","10431290","1345636","376858","3571","5","330349","4073","5",".","112","1168304"
"1988","Maryland","Beer","104102802","4684626","376858","12431","8","330349","14181","8",".","46","4788729"
"1988","Maryland","All Beverages","","9785532","376858","25966","4","330349","29622","5",".","","9511291"
"1988","Massachusetts","Spirits","12635838","5193329","494447","10503","2","432366","12011","2",".","371","4687896"
"1988","Massachusetts","Wine","18845709","2431096","494447","4917","2","432366","5623","2",".","112","2110719"
"1988","Massachusetts","Beer","139528356","6278776","494447","12699","7","432366","14522","7",".","46","6418304"
"1988","Massachusetts","All Beverages","","13903201","494447","28119","3","432366","32156","3",".","","13216919"
"1988","Michigan","Spirits","14977568","6155780","732744","8401","5","631342","9750","5",".","382","5721431"
"1988","Michigan","Wine","18273612","2357296","732744","3217","5","631342","3734","5",".","107","1955276"
"1988","Michigan","Beer","214645935","9659067","732744","13182","6","631342","15299","6",".","46","9873713"
"1988","Michigan","All Beverages","","18172143","732744","24800","6","631342","28783","5",".","","17550420"
"1988","Minnesota","Spirits","7446473","3060500","339368","9018","4","296264","10330","4",".","387","2881785"
"1988","Minnesota","Wine","7982000","1029678","339368","3034","6","296264","3476","6",".","95","758290"
"1988","Minnesota","Beer","98589000","4436505","339368","13073","6","296264","14975","6",".","46","4535094"
"1988","Minnesota","All Beverages","","8526683","339368","25125","5","296264","28781","6",".","","8175169"
"1988","Mississippi","Spirits","3226439","1326066","199024","6663","8","167544","7915","7",".","400","1290576"
"1988","Mississippi","Wine","1429000","184341","199024","926","10","167544","1100","10",".","105","150045"
"1988","Mississippi","Beer","57391000","2582595","199024","12976","6","167544","15414","5",".","46","2639986"
"1988","Mississippi","All Beverages","","4093002","199024","20565","9","167544","24429","8",".","","4080607"
"1988","Missouri","Spirits","6920699","2844407","405399","7016","7","353587","8044","7",".","382","2643707"
"1988","Missouri","Wine","8038772","1037002","405399","2558","7","353587","2933","7",".","111","892304"
"1988","Missouri","Beer","121985895","5489365","405399","13541","5","353587","15525","5",".","46","5611351"
"1988","Missouri","All Beverages","","9370774","405399","23115","7","353587","26502","7",".","","9147362"
"1988","Montana","Spirits","1160261","476867","62132","7675","6","54043","8824","6",".","385","446700"
"1988","Montana","Wine","1546000","199434","62132","3210","6","54043","3690","6",".","104","160784"
"1988","Montana","Beer","22236000","1000620","62132","16105","2","54043","18515","2",".","46","1022856"
"1988","Montana","All Beverages","","1676921","62132","26989","4","54043","31029","4",".","","1630340"
"1988","Nebraska","Spirits","1993958","819517","123401","6641","8","107472","7625","8",".","383","763686"
"1988","Nebraska","Wine","2138207","275829","123401","2235","8","107472","2567","8",".","102","218097"
"1988","Nebraska","Beer","38665426","1739944","123401","14100","4","107472","16190","4",".","46","1778610"
"1988","Nebraska","All Beverages","","2835290","123401","22976","7","107472","26381","7",".","","2760393"
"1988","Nevada","Spirits","4101231","1685606","86268","19539","1","76412","22059","1",".","387","1587176"
"1988","Nevada","Wine","5108989","659060","86268","7640","1","76412","8625","1",".","106","541553"
"1988","Nevada","Beer","39956604","1798047","86268","20842","1","76412","23531","1",".","46","1838004"
"1988","Nevada","All Beverages","","4142713","86268","48021","1","76412","54215","1",".","","3966733"
"1988","New Hampshire","Spirits","4115288","1691383","87094","19420","1","75984","22260","1",".","381","1567925"
"1988","New Hampshire","Wine","3286000","423894","87094","4867","3","75984","5579","3",".","110","361460"
